alg,fid,inst,dim,best_f,evals_total,t_hit_0.1,t_hit_0.001,t_hit_1e-05,t_hit_1e-08,duration_sec
NLSHADE_RSP,1,1,2,79.48,8001,-1,-1,-1,-1,0.08282136917114258
NLSHADE_RSP,1,2,2,394.48,8001,-1,-1,-1,-1,0.12997746467590332
NLSHADE_RSP,1,3,2,-247.11,8001,1,1,1,1,0.09302568435668945
NLSHADE_RSP,1,4,2,-152.04,8001,1,1,1,1,0.0924522876739502
NLSHADE_RSP,1,5,2,-25.25,8001,1,1,1,1,0.09140348434448242
NLSHADE_RSP,1,6,2,-201.72,8001,1,1,1,1,0.09210777282714844
NLSHADE_RSP,1,7,2,-1000.0,8001,1,1,1,1,0.1374664306640625
NLSHADE_RSP,1,8,2,-42.9,8001,1,1,1,1,0.09090757369995117
NLSHADE_RSP,1,9,2,-101.32,8001,1,1,1,1,0.0938882827758789
NLSHADE_RSP,1,10,2,3.65,8001,-1,-1,-1,-1,0.09412837028503418
NLSHADE_RSP,1,11,2,220.53,8001,-1,-1,-1,-1,0.09552121162414551
NLSHADE_RSP,1,12,2,421.29,8001,-1,-1,-1,-1,0.0923616886138916
NLSHADE_RSP,1,13,2,-79.0,8001,1,1,1,1,0.09603142738342285
NLSHADE_RSP,1,14,2,-41.33,8001,1,1,1,1,0.09723877906799316
NLSHADE_RSP,1,15,2,212.75,8001,-1,-1,-1,-1,0.09483838081359863
NLSHADE_RSP,2,1,2,-209.88,8001,554,554,554,554,0.09874224662780762
NLSHADE_RSP,2,2,2,-92.09,8001,470,470,470,470,0.10014796257019043
NLSHADE_RSP,2,3,2,-87.89,8001,460,460,460,460,0.10396933555603027
NLSHADE_RSP,2,4,2,320.19,8001,-1,-1,-1,-1,0.11601018905639648
NLSHADE_RSP,2,5,2,-104.24,8001,97,97,97,97,0.10341811180114746
NLSHADE_RSP,2,6,2,-35.7,8001,428,428,428,428,0.10282540321350098
